Region,InstanceType,OnDemand_Hourly,Spot_Hourly,EC2_SP_1yr_Hourly,EC2_SP_3yr_Hourly,Compute_SP_1yr_Hourly,Compute_SP_3yr_Hourly,RI_1yr_NoUpfront,RI_3yr_NoUpfront,RI_1yr_PartialUpfront,RI_3yr_PartialUpfront,RI_1yr_AllUpfront,RI_3yr_AllUpfront
us-east-1,m8gd.xlarge,0.0,0.0672,,,,,,,,,,
us-east-1,p3.16xlarge,24.48,5.5588,,,,,,,,,,
us-east-1,p3.2xlarge,3.06,0.4708,,,,,,,,,,
us-east-1,p3.8xlarge,0.0,1.3039,,,,,,,,,,
us-east-1,p3dn.24xlarge,31.212,4.1783,,,,,31.212,31.212,31.212,31.212,31.212,31.212
us-east-1,p4d.24xlarge,21.957642,6.8216,,,,,21.957642,21.957642,21.957642,21.957642,21.957642,21.957642
us-east-1,p4de.24xlarge,27.44705,8.6021,,,,,27.44705,27.44705,27.44705,27.44705,27.44705,27.44705
us-east-1,p5.48xlarge,0.0,15.1767,,,,,55.04,55.04,55.04,55.04,55.04,55.04
us-east-1,p5en.48xlarge,0.0,18.5861,,,,,,,,,,
us-east-1,r3.2xlarge,1.624,0.2213,,,,,3.664,3.664,3.664,3.664,3.664,3.664
us-east-1,r3.4xlarge,3.248,0.3547,,,,,3.248,3.248,3.248,3.248,3.248,3.248
us-east-1,r3.8xlarge,3.197,0.6779,,,,,2.66,2.66,2.66,2.66,2.66,2.66
us-east-1,r3.large,0.0,0.0417,,,,,0.234,0.234,0.234,0.234,0.234,0.234
us-east-1,r3.xlarge,0.0,0.1092,,,,,0.4,0.4,0.4,0.4,0.4,0.4
us-east-1,r4.16xlarge,28.256,1.6402,,,,,28.256,28.256,28.256,28.256,28.256,28.256
us-east-1,r4.2xlarge,3.532,0.3127,,,,,3.532,3.532,3.532,3.532,3.532,3.532
us-east-1,r4.4xlarge,2.984,0.4359,,,,,2.984,2.984,2.984,2.984,2.984,2.984
us-east-1,r4.8xlarge,0.0,0.696,,,,,2.6688,2.6688,2.6688,2.6688,2.6688,2.6688
us-east-1,r4.large,0.613,0.056,,,,,0.133,0.133,0.133,0.133,0.133,0.133
us-east-1,r4.xlarge,0.0,0.1292,,,,,0.3336,0.3336,0.3336,0.3336,0.3336,0.3336
us-east-1,r5.12xlarge,0.0,0.9759,,,,,3.024,3.024,3.024,3.024,3.024,3.024
us-east-1,r5.16xlarge,0.0,0.6068,,,,,28.032,28.032,28.032,28.032,28.032,28.032
us-east-1,r5.24xlarge,0.0,2.5287,,,,,17.568,17.568,17.568,17.568,17.568,17.568
us-east-1,r5.2xlarge,0.639,0.1888,,,,,0.639,0.639,0.639,0.639,0.639,0.639
us-east-1,r5.4xlarge,2.928,0.3643,,,,,7.008,7.008,7.008,7.008,7.008,7.008
us-east-1,r5.8xlarge,2.016,0.5405,,,,,2.016,2.016,2.016,2.016,2.016,2.016
us-east-1,r5.large,0.606,0.0419,,,,,0.606,0.606,0.606,0.606,0.606,0.606
us-east-1,r5.metal,6.048,1.5836,,,,,6.048,6.048,6.048,6.048,6.048,6.048
us-east-1,r5.xlarge,0.252,0.0736,,,,,0.32,0.32,0.32,0.32,0.32,0.32
us-east-1,r5a.12xlarge,20.712,0.7208,,,,,3.523,3.523,3.523,3.523,3.523,3.523
us-east-1,r5a.16xlarge,3.616,0.9815,,,,,3.616,3.616,3.616,3.616,3.616,3.616
us-east-1,r5a.24xlarge,16.944,1.4679,,,,,16.944,16.944,16.944,16.944,16.944,16.944
us-east-1,r5a.2xlarge,0.0,0.2118,,,,,1.412,1.412,1.412,1.412,1.412,1.412
us-east-1,r5a.4xlarge,1.174,0.3877,,,,,0.904,0.904,0.904,0.904,0.904,0.904
us-east-1,r5a.8xlarge,1.808,0.5396,,,,,13.808,13.808,13.808,13.808,13.808,13.808
us-east-1,r5a.large,0.181,0.0414,,,,,0.181,0.181,0.181,0.181,0.181,0.181
us-east-1,r5a.xlarge,0.226,0.0859,,,,,0.226,0.226,0.226,0.226,0.226,0.226
us-east-1,r5ad.12xlarge,3.955,1.204,,,,,3.144,3.144,3.144,3.144,3.144,3.144
us-east-1,r5ad.16xlarge,0.0,1.0549,,,,,11.872,11.872,11.872,11.872,11.872,11.872
us-east-1,r5ad.24xlarge,17.808,1.778,,,,,17.808,17.808,17.808,17.808,17.808,17.808
us-east-1,r5ad.2xlarge,1.484,0.3455,,,,,0.659,0.659,0.659,0.659,0.659,0.659
us-east-1,r5ad.4xlarge,0.0,0.4565,,,,,7.048,7.048,7.048,7.048,7.048,7.048
us-east-1,r5ad.8xlarge,0.0,0.8089,,,,,2.637,2.637,2.637,2.637,2.637,2.637
us-east-1,r5ad.large,0.199,0.0466,,,,,0.199,0.199,0.199,0.199,0.199,0.199
us-east-1,r5ad.xlarge,1.762,0.1934,,,,,1.762,1.762,1.762,1.762,1.762,1.762
us-east-1,r5b.12xlarge,0.0,1.8611,,,,,21.576,21.576,21.576,21.576,21.576,21.576
